id,start_academic_year,provider_name,provider_code,provider_ukprn,partner_name,partner_reference,partner_type,school_name,school_urn,subject_name
68ddfef8-e5ff-4d7f-9be5-3c9264c84472,2019,University of Northumbria at Newcastle,N77,10001282,,,,Rothbury First School,122221,Primary
a8c6cda7-4128-4d4e-bdb1-e74d5ea934d2,2019,Sheffield Hallam University,S21,10005790,,,,Roughwood Primary School,144195,Primary
f2404ab8-932b-4915-a375-911b8b6fc0d3,2019,Plymouth Marjon University,P63,10037449,,,,Roundhill Primary School,146263,Primary
1495c5f7-646d-495d-8c67-916631ab754e,2019,Nottingham Trent University,N91,10004797,,,,Round Hill Primary School,122707,Primary
cc6d04b2-d071-4336-b0b5-7a2483b7698f,2019,The University of Brighton,B72,10000886,,,,Roundwood Park School,136973,Physical education
d13486bb-9f31-43e3-9b39-5ef77039c238,2019,University of Greenwich,G70,10007146,,,,Rowdown Primary School,140841,Primary
a46b15ac-075f-440a-a1ec-2818fed25531,2019,The Manchester Metropolitan University,M40,10004180,,,,Royton Hall Primary School,135341,Mathematics
b33d3378-1f9c-4c2b-bac4-0998dcdcd2e4,2019,University of Chester,C55,10007848,,,,Rudheath Primary Academy and Nursery,139379,Primary
cf24b06e-7d8a-4740-a47b-e4d87e3bbda7,2019,Liverpool Hope University,L46,10003956,,,,Rudston Primary School,137888,Primary
f784f923-f5e1-46d9-b171-1463736e3b31,2019,Edge Hill University,E42,10007823,,,,Rufford CofE School,119483,Primary
abf3fd99-2bc3-4916-b22a-569001bba099,2019,Nottingham Trent University,N91,10004797,,,,Rufford Primary and Nursery School,136232,Primary
9cf6baff-10f5-47f2-942c-d88a076ca976,2019,Birmingham City University,B25,10007140,,,,Rugby High School,136595,Computing
ebaa0e47-5d5e-4531-9d5a-c39afd60d0ea,2019,University of Greenwich,G70,10007146,,,,Rushey Green Primary School,100701,Primary
be66d931-7d2f-4462-a40d-173e1626ae7e,2019,University of Chichester,C58,10007137,,,,Rustington Community Primary School,139478,Primary
d72c041a-e03c-43ec-a058-0f01a959955e,2019,Leeds Trinity University,L24,10003863,,,,"Ryhill Junior, Infant and Nursery School",130972,Primary
865f589d-2517-4c7d-ba76-0f5561dbc714,2019,University of Northumbria at Newcastle,N77,10001282,,,,Ryton Community Infant School,108352,Primary
9b2d2846-591c-4d28-a34d-848af298f061,2019,Liverpool Hope University,L46,10003956,,,,Sacred Heart Catholic Primary School,105074,Primary
1eebf017-3fbe-44bb-8220-48790acf75fe,2019,The University of Brighton,B72,10000886,,,,Sacred Heart Catholic School,138960,Physical education
8fac1e17-7856-4b0e-bbe0-f7fc03d40312,2019,University Of Plymouth,P60,10007801,,,,Sacred Heart Catholic School,140749,Primary
3093d8a5-e01e-4b4d-8fe2-11d46fe200f6,2019,The Manchester Metropolitan University,M40,10004180,,,,Sacred Heart RC Primary School,134479,Mathematics
9ce90962-73bb-4cd4-8f8e-930c4066e982,2019,The Manchester Metropolitan University,M40,10004180,,,,Sacred Heart RC Primary School,134479,Primary
489d79ea-2e31-4d01-8ee1-d01af9eca4d5,2019,Edge Hill University,E42,10007823,,,,Saddleworth School,105736,Mathematics
d9a17015-9633-48b3-ae07-ba9b2304be7e,2019,Lincoln Bishop University,B38,10007811,,,,Saint Mary's RC Primary Academy Boston,146241,Primary
7f1041d5-61e4-4a75-9a6f-cf9d5c03b3e6,2019,Sheffield Hallam University,S21,10005790,,,,Saint Pius X Catholic High School A Specialist School in Humanities,106962,Biology
fcf99d41-fde0-4d99-948c-97c357beda20,2019,Edge Hill University,E42,10007823,,,,Saints Peter and Paul Catholic Primary School,104479,Primary
c46a3508-c1bc-4f6f-b25e-fe1881d2bb64,2019,Plymouth Marjon University,P63,10037449,,,,Saltash Community School,136575,Physical education
f1d23b70-4b03-4f04-9851-1246e4bcdb2c,2019,University of Sussex,S90,10007806,,,,Saltdean Primary School,114479,Primary
c883806a-6ea7-413a-a036-011e84e41837,2019,Birmingham City University,B25,10007140,,,,Saltley Academy,141668,Primary
155797b5-c069-4752-9f67-98bc6b094338,2019,University of Bedfordshire,B22,10007152,,,,Samuel Whitbread Academy,137948,Physical education
420edc79-9f8a-4166-b484-5e910ea41495,2019,Leeds Trinity University,L24,10003863,,,,Sandal Primary School,107287,Primary
43d1e975-75b9-41e5-82f2-238a87cfa0dc,2019,University of Wolverhampton,W75,10007166,,,,Sandbank Nursery School,104134,Primary
3c71782a-c96b-453a-950c-1dad6b06fe5d,2019,Kingston University,K84,10003678,,,,Sandcross Primary School,144938,Primary
e71f9350-27f5-4281-983e-febc3713e559,2019,Sheffield Hallam University,S21,10005790,,,,Sandhill Primary School,141917,Primary
086501b5-69db-4420-862b-80f1be2583da,2019,University of Sunderland,S84,10007159,,,,Sandhill View Academy,141986,Mathematics
537926a2-6bbb-4bf8-a0fb-966ddf5ef9cf,2019,Canterbury Christ Church University,C10,10001143,,,,Sandown School,147056,Primary
e4bee75d-e983-4498-873b-7f1781dc09bd,2019,University of Greenwich,G70,10007146,,,,Sandringham Primary School,130381,Primary
4f09bdd2-02d1-4f75-907f-4b56accb2d34,2019,Leeds Trinity University,L24,10003863,,,,Sandy Lane Primary School,107219,Primary
71424347-a50b-457e-89f3-9bb58412064c,2019,University of Reading,R12,10007802,,,,Sandy Lane Primary School,133619,Primary
355f4608-1852-4c79-8f52-712bcc5c1a8f,2019,Edge Hill University,E42,10007823,,,,Sankey Valley St James Church of England Primary School,133676,Primary
50bad2d1-8c78-4fb5-809f-0e403fdf839e,2019,University of Derby,D39,10007851,,,,Sawley Infant and Nursery School,141542,Primary
d5c5ae7f-b772-406c-a505-4c285ccdb910,2019,University of Bedfordshire,B22,10007152,,,,Sawtry Village Academy,136974,Physical education
3b7a481a-2dfe-4874-815f-ea14dfdab78e,2019,Lincoln Bishop University,B38,10007811,,,,Saxilby Church of England Primary School,120583,Primary
11b08426-6f16-4b20-849c-23dd0eb4c8c9,2019,St Mary's University,S64,10007843,,,,Saxon Primary School,140250,Primary
c68f2f82-96ea-4f7e-b46c-7baa089774a2,2019,Canterbury Christ Church University,C10,10001143,,,,Saxon Way Primary School,139928,Primary
7ca784d7-9956-4823-ad52-250fc7f9c2b7,2019,Sheffield Hallam University,S21,10005790,,,,Scarcliffe Primary School,112615,Primary
b550a745-c407-4a21-8b7b-0e79ebf2a68b,2019,Edge Hill University,E42,10007823,,,,Scarisbrick Hall School,119824,English
cb80e48c-4818-4b1d-94f0-3d2145e2eee0,2019,Lincoln Bishop University,B38,10007811,,,,Scawsby Saltersgate Infant School,106703,Primary
846049f5-f280-49b3-95c0-ffe0ca998b3a,2019,Sheffield Hallam University,S21,10005790,,,,Scawsby Saltersgate Infant School,106703,Primary
19baa0fa-41de-4be9-9f2f-56aa1bf2060d,2019,Lincoln Bishop University,B38,10007811,,,,Scawthorpe Sunnyfields Primary School,106747,Primary
674844ff-3bd7-42da-9849-b9141e36cfc2,2019,Leeds Beckett University,L27,10003861,,,,Scholes (Elmet) Primary School,107813,Primary
7639ad0a-b7b5-4fdb-89a0-331bd965755a,2019,Leeds Beckett University,L27,10003861,,,,Scholes Village Primary School,107674,Primary
ec03c846-7aa3-4f4b-bb8b-ad55b2c5cb76,2019,University of Derby,D39,10007851,,,,Scientia Academy,139602,Primary
d7899a97-1b3e-40ba-ba8d-8d39fac8f355,2019,University of Cumbria,C99,10007842,,,,Scotby CofE Primary School,112403,Primary
0ca2eadf-94a7-4377-a330-110f93eb40e3,2019,University of Cumbria,C99,10007842,,,,Scotforth St Paul's Church of England Primary and Nursery School,119533,Primary
8c89c71b-1a2e-4b70-a980-668192b1dfdb,2019,Nottingham Trent University,N91,10004797,,,,Scotholme Primary and Nursery School,143796,Primary
1c0fab3b-b230-44d7-aad0-aeacf0bc70a5,2019,University of Sunderland,S84,10007159,,,,Seaburn Dene Primary School,108786,Primary
b843fd83-5e93-4a5b-9552-f40082013b4c,2019,The University of Brighton,B72,10000886,,,,Seaford Head School,138473,Physical education
62e5e826-f1fe-48d5-8c5b-32e81434fd65,2019,University of Sunderland,S84,10007159,,,,Seascape Primary School,133701,Primary
d0ffc89d-9936-48be-a205-910c0724b31b,2019,The University of Brighton,B72,10000886,,,,Seaside Primary School,143387,Primary
a6797430-92d2-4b20-8727-34f9bc4ede51,2019,Lincoln Bishop University,B38,10007811,,,,Seathorne Primary Academy,147412,Primary
